"","","George W. BushRepublican","","","John KerryDemocratic","","","Ralph NaderIndependent / Reform","","","Michael BadnarikLibertarian","","","Michael PeroutkaConstitution","","","David CobbGreen","","","Others","","","Margin","","State Total",""
"Florida","27","3,964,522","52.10%","27","3,583,544","47.09%","–","32,971","0.43%","–","11,996","0.16%","–","6,626","0.09%","–","3,917","0.05%","–","6,234","0.08%","–","380,978","5.01%","7,609,810","FL"
"Georgia","15","1,914,254","57.97%","15","1,366,149","41.37%","–","2,231","0.07%","–","18,387","0.56%","–","580","0.02%","–","228","0.01%","–","46","0.00%","–","548,105","16.60%","3,301,875","GA"
"Hawaii","4","194,191","45.26%","–","231,708","54.01%","4","0","0.00%","–","1,377","0.32%","–","0","0.00%","–","1,737","0.40%","–","0","0.00%","–","−37,517","−8.74%","429,013","HI"
"Idaho","4","409,235","68.38%","4","181,098","30.26%","–","1,115","0.19%","–","3,844","0.64%","–","3,084","0.52%","–","58","0.01%","–","13","0.00%","–","228,137","38.12%","598,447","ID"
"Illinois","21","2,345,946","44.48%","–","2,891,550","54.82%","21","3,571","0.07%","–","32,442","0.62%","–","440","0.01%","–","241","0.00%","–","132","0.00%","–","−545,604","−10.34%","5,274,322","IL"
"Indiana","11","1,479,438","59.94%","11","969,011","39.26%","–","1,328","0.05%","–","18,058","0.73%","–","0","0.00%","–","102","0.00%","–","65","0.00%","–","510,427","20.68%","2,468,002","IN"
"Iowa","7","751,957","49.90%","7","741,898","49.23%","–","5,973","0.40%","–","2,992","0.20%","–","1,304","0.09%","–","1,141","0.08%","–","1,643","0.11%","–","10,059","0.67%","1,506,908","IA"
"Kansas","6","736,456","62.00%","6","434,993","36.62%","–","9,348","0.79%","–","4,013","0.34%","–","2,899","0.24%","–","33","0.00%","–","14","0.00%","–","301,463","25.38%","1,187,756","KS"
"Kentucky","8","1,069,439","59.55%","8","712,733","39.69%","–","8,856","0.49%","–","2,619","0.15%","–","2,213","0.12%","–","0","0.00%","–","22","0.00%","–","356,706","19.86%","1,795,882","KY"
"Louisiana","9","1,102,169","56.72%","9","820,299","42.22%","–","7,032","0.36%","–","2,781","0.14%","–","5,203","0.27%","–","1,276","0.07%","–","4,346","0.22%","–","281,870","14.51%","1,943,106","LA"
"Maine†","2","330,201","44.58%","–","396,842","53.57%","2","8,069","1.09%","–","1,965","0.27%","–","735","0.10%","–","2,936","0.40%","–","4","0.00%","–","−66,641","−9.00%","740,752","ME"
"Maine-1","1","165,824","43.14%","–","211,703","55.07%","1","4,004","1.04%","–","1,047","0.27%","–","346","0.09%","–","1,468","0.38%","–","–","–","–","−45,879","−11.94%","384,392","ME1"
"Maine-2","1","164,377","46.13%","–","185,139","51.95%","1","4,065","1.14%","–","918","0.26%","–","389","0.11%","–","1,468","0.41%","–","–","–","–","−20,762","−5.83%","356,356","ME2"
"Maryland","10","1,024,703","42.93%","–","1,334,493","55.91%","10","11,854","0.50%","–","6,094","0.26%","–","3,421","0.14%","–","3,632","0.15%","–","2,481","0.10%","–","−309,790","−12.98%","2,386,678","MD"
"Massachusetts","12","1,071,109","36.78%","–","1,803,800","61.94%","12","4,806","0.17%","–","15,022","0.52%","–","0","0.00%","–","10,623","0.36%","–","7,028","0.24%","–","−732,691","−25.16%","2,912,388","MA"
"Michigan","17","2,313,746","47.81%","–","2,479,183","51.23%","17","24,035","0.50%","–","10,552","0.22%","–","4,980","0.10%","–","5,325","0.11%","–","1,431","0.03%","–","−165,437","−3.42%","4,839,252","MI"
"Minnesota","10","1,346,695","47.61%","–","1,445,014","51.09%","9","18,683","0.66%","–","4,639","0.16%","–","3,074","0.11%","–","4,408","0.16%","–","5,874","0.21%","–","−98,319","−3.48%","2,828,387","MN"
"Mississippi","6","684,981","59.45%","6","458,094","39.76%","–","3,177","0.28%","–","1,793","0.16%","–","1,759","0.15%","–","1,073","0.09%","–","1,268","0.11%","–","226,887","19.69%","1,152,145","MS"
"Missouri","11","1,455,713","53.30%","11","1,259,171","46.10%","–","1,294","0.05%","–","9,831","0.36%","–","5,355","0.20%","–","0","0.00%","–","0","0.00%","–","196,542","7.20%","2,731,364","MO"
"Montana","3","266,063","59.07%","3","173,710","38.56%","–","6,168","1.37%","–","1,733","0.38%","–","1,764","0.39%","–","996","0.22%","–","11","0.00%","–","92,353","20.50%","450,445","MT"
"Nebraska†","2","512,814","65.90%","2","254,328","32.68%","–","5,698","0.73%","–","2,041","0.26%","–","1,314","0.17%","–","978","0.13%","–","1,013","0.13%","–","258,486","33.22%","778,186","NE"
"Nebraska-1","1","169,888","62.97%","1","96,314","35.70%","–","2,025","0.75%","–","656","0.24%","–","405","0.15%","–","453","0.17%","–","30","0.01%","–","73,574","27.27%","269,771","NE1"
"Nebraska-2","1","153,041","60.24%","1","97,858","38.52%","–","1,731","0.68%","–","813","0.32%","–","305","0.12%","–","261","0.10%","–","23","0.01%","–","55,183","21.72%","254,032","NE2"
"Nebraska-3","1","189,885","74.92%","1","60,156","23.73%","–","1,942","0.77%","–","572","0.23%","–","604","0.24%","–","264","0.10%","–","29","0.01%","–","129,729","51.18%","253,452","NE3"
"Nevada","5","418,690","50.47%","5","397,190","47.88%","–","4,838","0.58%","–","3,176","0.38%","–","1,152","0.14%","–","853","0.10%","–","3,688","0.44%","–","21,500","2.59%","829,587","NV"
"New Hampshire","4","331,237","48.87%","–","340,511","50.24%","4","4,479","0.66%","–","372","0.05%","–","161","0.02%","–","0","0.00%","–","978","0.14%","–","−9,274","−1.37%","677,738","NH"
"New Jersey","15","1,670,003","46.24%","–","1,911,430","52.92%","15","19,418","0.54%","–","4,514","0.12%","–","2,750","0.08%","–","1,807","0.05%","–","1,769","0.05%","–","−241,427","−6.68%","3,611,691","NJ"
"New Mexico","5","376,930","49.84%","5","370,942","49.05%","–","4,053","0.54%","–","2,382","0.31%","–","771","0.10%","–","1,226","0.16%","–","0","0.00%","–","5,988","0.79%","756,304","NM"
"New York","31","2,962,567","40.08%","–","4,314,280","58.37%","31","99,873","1.35%","–","11,607","0.16%","–","207","0.00%","–","87","0.00%","–","2,415","0.03%","–","−1,351,713","−18.29%","7,391,036","NY"
"North Carolina","15","1,961,166","56.02%","15","1,525,849","43.58%","–","1,805","0.05%","–","11,731","0.34%","–","0","0.00%","–","108","0.00%","–","348","0.01%","–","435,317","12.43%","3,501,007","NC"
"North Dakota","3","196,651","62.86%","3","111,052","35.50%","–","3,756","1.20%","–","851","0.27%","–","514","0.16%","–","0","0.00%","–","9","0.00%","–","85,599","27.36%","312,833","ND"
"Ohio","20","2,859,768","50.81%","20","2,741,167","48.71%","–","0","0.00%","–","14,676","0.26%","–","11,939","0.21%","–","192","0.00%","–","166","0.00%","–","118,601","2.11%","5,627,908","OH"
"Oklahoma","7","959,792","65.57%","7","503,966","34.43%","–","0","0.00%","–","0","0.00%","–","0","0.00%","–","0","0.00%","–","0","0.00%","–","455,826","31.14%","1,463,758","OK"
"Oregon","7","866,831","47.19%","–","943,163","51.35%","7","0","0.00%","–","7,260","0.40%","–","5,257","0.29%","–","5,315","0.29%","–","8,956","0.49%","–","−76,332","−4.16%","1,836,782","OR"
"Pennsylvania","21","2,793,847","48.42%","–","2,938,095","50.92%","21","2,656","0.05%","–","21,185","0.37%","–","6,318","0.11%","–","6,319","0.11%","–","1,170","0.02%","–","−144,248","−2.50%","5,769,590","PA"
"Rhode Island","4","169,046","38.67%","–","259,765","59.42%","4","4,651","1.06%","–","907","0.21%","–","339","0.08%","–","1,333","0.30%","–","1,093","0.25%","–","−90,719","−20.75%","437,134","RI"
"South Carolina","8","937,974","57.98%","8","661,699","40.90%","–","5,520","0.34%","–","3,608","0.22%","–","5,317","0.33%","–","1,488","0.09%","–","2,124","0.13%","–","276,275","17.08%","1,617,730","SC"
"South Dakota","3","232,584","59.91%","3","149,244","38.44%","–","4,320","1.11%","–","964","0.25%","–","1,103","0.28%","–","0","0.00%","–","0","0.00%","–","83,340","21.47%","388,215","SD"
"Tennessee","11","1,384,375","56.80%","11","1,036,477","42.53%","–","8,992","0.37%","–","4,866","0.20%","–","2,570","0.11%","–","33","0.00%","–","6","0.00%","–","347,898","14.27%","2,437,319","TN"
"Texas","34","4,526,917","61.09%","34","2,832,704","38.22%","–","9,159","0.12%","–","38,787","0.52%","–","1,636","0.02%","–","1,014","0.01%","–","548","0.01%","–","1,694,213","22.86%","7,410,765","TX"
"Utah","5","663,742","71.54%","5","241,199","26.00%","–","11,305","1.22%","–","3,375","0.36%","–","6,841","0.74%","–","39","0.00%","–","1,343","0.14%","–","422,543","45.54%","927,844","UT"
"Vermont","3","121,180","38.80%","–","184,067","58.94%","3","4,494","1.44%","–","1,102","0.35%","–","0","0.00%","–","0","0.00%","–","1,466","0.47%","–","−62,887","−20.14%","312,309","VT"
"Virginia","13","1,716,959","53.68%","13","1,454,742","45.48%","–","2,393","0.07%","–","11,032","0.34%","–","10,161","0.32%","–","104","0.00%","–","2,976","0.09%","–","262,217","8.20%","3,198,367","VA"
"Washington","11","1,304,894","45.64%","–","1,510,201","52.82%","11","23,283","0.81%","–","11,955","0.42%","–","3,922","0.14%","–","2,974","0.10%","–","1,855","0.06%","–","−205,307","−7.18%","2,859,084","WA"
"West Virginia","5","423,778","56.06%","5","326,541","43.20%","–","4,063","0.54%","–","1,405","0.19%","–","82","0.01%","–","5","0.00%","–","13","0.00%","–","97,237","12.86%","755,887","WV"
"Wisconsin","10","1,478,120","49.32%","–","1,489,504","49.70%","10","16,390","0.55%","–","6,464","0.22%","–","0","0.00%","–","2,661","0.09%","–","3,868","0.13%","–","−11,384","−0.38%","2,997,007","WI"
"Wyoming","3","167,629","68.86%","3","70,776","29.07%","–","2,741","1.13%","–","1,171","0.48%","–","631","0.26%","–","0","0.00%","–","480","0.20%","–","96,853","39.79%","243,428","WY"
"U.S Total","538","62,040,610","50.73%","286","59,028,444","48.27%","251","465,151","0.38%","–","397,265","0.32%","–","143,630","0.12%","–","119,859","0.10%","–","99,887","0.08%","–","3,012,166","2.46%","122,294,846","US"
